song_number,title_ta,title_en,venue_ta,venue_en,source_file,source_heading,publication_status,route
6,முத்தைத்தரு,Muththaiththaru,திருவருணை,Thiruvarunai,697840-அருணகிரிநாதர்-அருளிய-திருப்புகழ்-(1)-(1).pdf,பாடல் 6 (நூல்),published-source-linked,thiruppugazh/0006-muththaiththaru.html
7,அருக்கு மங்கையர்,Arukku Mangkaiyar,திருப்பரங்குன்றம்,Thirupparankundram,697840-அருணகிரிநாதர்-அருளிய-திருப்புகழ்-(1)-(1).pdf,பாடல் 7 (திருப்பரங்குன்றம்),published-source-linked,thiruppugazh/0007-arukku-mangkaiyar.html
8,உனைத் தினம்,Unaith Thinam,திருப்பரங்குன்றம்,Thirupparankundram,697840-அருணகிரிநாதர்-அருளிய-திருப்புகழ்-(1)-(1).pdf,பாடல் 8 (திருப்பரங்குன்றம்),published-source-linked,thiruppugazh/0008-unaith-thinam.html
9,கருவடைந்து,Karuvadaindhu,திருப்பரங்குன்றம்,Thirupparankundram,697840-அருணகிரிநாதர்-அருளிய-திருப்புகழ்-(1)-(1).pdf,பாடல் 9 (திருப்பரங்குன்றம்),published-source-linked,thiruppugazh/0009-karuvadaindhu.html
10,கறுக்கும் அஞ்சன,Karukkum Anjana,திருப்பரங்குன்றம்,Thirupparankundram,697840-அருணகிரிநாதர்-அருளிய-திருப்புகழ்-(1)-(1).pdf,பாடல் 10 (திருப்பரங்குன்றம்),published-source-linked,thiruppugazh/0010-karukkum-anjana.html
12,காதடருங்கயல்,Kadhadarungkayal,திருப்பரங்குன்றம்,Thirupparankundram,697840-அருணகிரிநாதர்-அருளிய-திருப்புகழ்-(1)-(1).pdf,பாடல் 12 (திருப்பரங்குன்றம்),published-source-linked,thiruppugazh/0012-kadhadarungkayal.html
13,சந்ததம் பந்த,Sandhadham Bandha,திருப்பரங்குன்றம்,Thirupparankundram,697840-அருணகிரிநாதர்-அருளிய-திருப்புகழ்-(1)-(1).pdf,பாடல் 13 (திருப்பரங்குன்றம்),published-source-linked,thiruppugazh/0013-sandhadham-bandha.html
15,தடக்கைப் பங்கயம்,Thadakkai Pangkayam,திருப்பரங்குன்றம்,Thirupparankundram,697840-அருணகிரிநாதர்-அருளிய-திருப்புகழ்-(1)-(1).pdf,பாடல் 15 (திருப்பரங்குன்றம்),published-source-linked,thiruppugazh/0015-thadakkai-pangkayam.html
16,பதித்த செஞ்சந்த,Padhiththa Senchandha,திருப்பரங்குன்றம்,Thirupparankundram,697840-அருணகிரிநாதர்-அருளிய-திருப்புகழ்-(1)-(1).pdf,பாடல் 16 (திருப்பரங்குன்றம்),published-source-linked,thiruppugazh/0016-padhiththa-senchandha.html
17,பொருப்புறுங்,Poruppurung,திருப்பரங்குன்றம்,Thirupparankundram,697840-அருணகிரிநாதர்-அருளிய-திருப்புகழ்-(1)-(1).pdf,பாடல் 17 (திருப்பரங்குன்றம்),published-source-linked,thiruppugazh/0017-poruppurung.html
